Exam,Section(s),Day,Date,Start Time,End Time,Location,,,,,,,,,,,
PSCI 100,001,Friday,"December 13, 2013",4:00 PM,6:00 PM,"DC 1350,1351,MC 1056",,,,,,,,,,,
PSCI 250,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,RCH 211,,,,,,,,,,,
PSCI 252,001,Thursday,"December 19, 2013",9:00 AM,11:30 AM,PAC 11,,,,,,,,,,,
PSCI 255,001,Friday,"December 20, 2013",9:00 AM,11:00 AM,DC 1350,,,,,,,,,,,
PSCI 257,001,Wednesday,"December 18, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
PSCI 264,001,Tuesday,"December 10, 2013",12:30 PM,2:30 PM,RCH 307,,,,,,,,,,,
PSCI 281,001,Monday,"December 16, 2013",4:00 PM,6:30 PM,RCH 301,,,,,,,,,,,
PSCI 324,001,Friday,"December 13, 2013",7:30 PM,10:00 PM,PAC 10,,,,,,,,,,,
PSCI 358,001,Thursday,"December 5, 2013",12:30 PM,2:30 PM,RCH 112,,,,,,,,,,,
PSCI 370,001,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,PAC 10,,,,,,,,,,,
PSCI 389,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,"RCH 103,105",,,,,,,,,,,
PSYCH 101,001,Saturday,"December 14, 2013",7:30 PM,9:30 PM,"PAC 4,5,6,7,8,11,12",,,,,,,,,,,
PSYCH 101,002,Saturday,"December 14, 2013",7:30 PM,10:00 PM,"PAC 1,2,3,9,10, DC 1350",,,,,,,,,,,
PSYCH 101,004,Thursday,"December 12, 2013",4:00 PM,6:00 PM,See Prof,,,,,,,,,,,
PSYCH 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
PSYCH 121R,001 to 003,Monday,"December 9, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
PSYCH 211,001,Friday,"December 13, 2013",9:00 AM,11:00 AM,"DC 1350,1351",,,,,,,,,,,
PSYCH 253,001,Monday,"December 16, 2013",7:30 PM,10:00 PM,"PAC 4,5,6,7",,,,,,,,,,,
PSYCH 253,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
PSYCH 257,001,Thursday,"December 12, 2013",4:00 PM,6:00 PM,"DC 1350,1351",,,,,,,,,,,
PSYCH 261,001,Tuesday,"December 10, 2013",12:30 PM,2:00 PM,"DC 1350,1351",,,,,,,,,,,
PSYCH 261,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
PSYCH 291,001,Monday,"December 9, 2013",12:30 PM,2:30 PM,"RCH 105,110,112,301,302",,,,,,,,,,,
PSYCH 318,001,Wednesday,"December 18, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
PSYCH 320,001,Thursday,"December 5, 2013",7:30 PM,9:30 PM,"RCH 103,105",,,,,,,,,,,
PSYCH 322R,001,Tuesday,"December 10, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
PSYCH 336,001,Saturday,"December 14, 2013",4:00 PM,6:30 PM,PAC 6,,,,,,,,,,,
PSYCH 340,001,Friday,"December 20, 2013",9:00 AM,10:30 AM,DC 1351,,,,,,,,,,,
PSYCH 349R,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
PSYCH 353,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,,,,
PSYCH 354,001,Thursday,"December 19, 2013",4:00 PM,5:30 PM,DC 1350,,,,,,,,,,,
PSYCH 380,001,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,RCH 204,,,,,,,,,,,
PSYCH 391,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,"RCH 301,302,305",,,,,,,,,,,
REC 101,001,Monday,"December 9, 2013",9:00 AM,11:00 AM,M3 1006,,,,,,,,,,,
REC 251,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
REC 416,001,Thursday,"December 12, 2013",4:00 PM,6:30 PM,PAC 3,,,,,,,,,,,
REES 273,001,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
RS 151,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
RS 152,001,Friday,"December 13, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
RS 216,001,Tuesday,"December 10, 2013",9:00 AM,11:30 AM,RCH 205,,,,,,,,,,,
RS 235,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
RS 236,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
RS 237,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
RS 240,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
RS 280,001,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
RS 286,001,Thursday,"December 5, 2013",9:00 AM,11:00 AM,See Prof,,,,,,,,,,,
RS 357,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
RUSS 101,"001,002",Saturday,"December 7, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
RUSS 201,001,Saturday,"December 7, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
SCI 206,001,Friday,"December 20, 2013",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,,,,
SCI 237,001,Thursday,"December 19, 2013",4:00 PM,6:30 PM,"PAC 2,3",,,,,,,,,,,
SCI 238,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
SDS 131R,001,Monday,"December 16, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SDS 131R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
SDS 150R,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SDS 150R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
SDS 210R,001,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SDS 220R,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SDS 231R,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SDS 250R,001 to 003,Thursday,"December 5, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SDS 251R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
SDS 355R,001,Saturday,"December 14, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
SE 212,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,DC 1351,,,,,,,,,,,
SE 463,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,"RCH 301,302",,,,,,,,,,,
SI 221R,001,Wednesday,"December 11, 2013",12:30 PM,2:30 PM,See Prof,,,,,,,,,,,
SMF 204,001,Tuesday,"December 10, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
SMF 317,001,Thursday,"December 5, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
SOC 101,001,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,"PAC 1,2,3,4,5,6,9",,,,,,,,,,,
SOC 101,002,Wednesday,"December 11, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
SOC 101,003,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SOC 101,004,Thursday,"December 12, 2013",7:30 PM,10:00 PM,"PAC 1,2,3,9",,,,,,,,,,,
SOC 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
SOC 120R,001 to 003,Friday,"December 6, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
SOC 201,001,Tuesday,"December 10, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SOC 202,001,Thursday,"December 12, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SOC 204R,001,Monday,"December 16, 2013",9:00 AM,11:00 AM,See Prof,,,,,,,,,,,
SOC 207,001,Wednesday,"December 11, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
SOC 222,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SOC 224R,001,Friday,"December 6, 2013",7:30 PM,9:30 PM,See Prof,,,,,,,,,,,
SOC 226,001,Friday,"December 13, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SOC 234,001,Saturday,"December 7, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
SOC 246,001,Saturday,"December 14, 2013",7:30 PM,9:30 PM,See Prof,,,,,,,,,,,
SOC 248,001,Friday,"December 20, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SOC 256,001,Friday,"December 6, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SOC 262,001,Wednesday,"December 11, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SOC 280,001,Thursday,"December 5, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
SOC 321,001,Monday,"December 9, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
SOC 336,001,Wednesday,"December 18, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
SOC 370,001,Wednesday,"December 18, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SOCWK 120R,001 to 003,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
SOCWK 220R,001,Tuesday,"December 17, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
SOCWK 221R,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SOCWK 222R,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SOCWK 300R,001,Thursday,"December 12, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
SOCWK 301R,001,Exam removed from the schedule.  Contact instructor for further information,,,,,,,,,,,,,,,
SOCWK 355R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
SPAN 101,001 to 006,Thursday,"December 19, 2013",12:30 PM,2:30 PM,"DC 1350,1351",,,,,,,,,,,
SPAN 101,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
SPAN 102,001,Wednesday,"December 18, 2013",9:00 AM,11:00 AM,RCH 211,,,,,,,,,,,
SPAN 201A,"001,002",Saturday,"December 14, 2013",4:00 PM,6:00 PM,MC 4045,,,,,,,,,,,
SPAN 201B,001,Saturday,"December 7, 2013",4:00 PM,6:00 PM,RCH 206,,,,,,,,,,,
SPCOM 324,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
STAT 202,"001,002",Thursday,"December 12, 2013",12:30 PM,3:00 PM,"PAC 4,5,6,7,8",,,,,,,,,,,
STAT 206,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,DC 1351,,,,,,,,,,,
STAT 220,001,Monday,"December 9, 2013",7:30 PM,10:00 PM,PAC 10,,,,,,,,,,,
STAT 221,001,Thursday,"December 12, 2013",7:30 PM,10:00 PM,MC 4042,,,,,,,,,,,
STAT 230,001 to 005,Thursday,"December 5, 2013",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8",,,,,,,,,,,
STAT 231,"001,002",Wednesday,"December 18, 2013",12:30 PM,3:00 PM,"PAC 4,5,6,7",,,,,,,,,,,
STAT 240,001,Wednesday,"December 18, 2013",12:30 PM,3:00 PM,PAC 8,,,,,,,,,,,
STAT 322,001,Thursday,"December 5, 2013",12:30 PM,3:00 PM,PAC 10,,,,,,,,,,,
STAT 330,"001,002",Wednesday,"December 18, 2013",9:00 AM,11:30 AM,"PAC 7,8",,,,,,,,,,,
STAT 331,"001,002",Thursday,"December 12, 2013",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,,,,
STAT 332,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,,
STAT 333,"001,002",Wednesday,"December 11, 2013",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,,,,
STAT 334,001,Thursday,"December 19, 2013",12:30 PM,3:00 PM,PAC 5,,,,,,,,,,,
STAT 337,001,Tuesday,"December 10, 2013",4:00 PM,6:30 PM,RCH 211,,,,,,,,,,,
STAT 341,001,Friday,"December 6, 2013",7:30 PM,10:00 PM,MC 4041,,,,,,,,,,,
STAT 371,001,Monday,"December 16, 2013",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,,
STAT 372,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,"PAC 11,12",,,,,,,,,,,
STAT 373,001,Friday,"December 20, 2013",4:00 PM,6:30 PM,MC 4021,,,,,,,,,,,
STAT 430,001,Wednesday,"December 18, 2013",7:30 PM,10:00 PM,MC 4045,,,,,,,,,,,
STAT 431,"001,002",Thursday,"December 12, 2013",12:30 PM,3:00 PM,"RCH 301,302",,,,,,,,,,,
STAT 433,"001,002",Wednesday,"December 18, 2013",4:00 PM,6:30 PM,"PAC 4,5",,,,,,,,,,,
STAT 441,001,Exam removed from the schedule.  Contact instructor for further information,,,,,,,,,,,,,,,
STAT 442,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
STAT 443,"001,002",Thursday,"December 5, 2013",7:30 PM,10:00 PM,DC 1351,,,,,,,,,,,
STAT 830,001,Wednesday,"December 18, 2013",7:30 PM,10:00 PM,MC 4045,,,,,,,,,,,
STAT 831,001,Thursday,"December 12, 2013",12:30 PM,3:00 PM,"RCH 301,302",,,,,,,,,,,
STAT 833,001,Wednesday,"December 18, 2013",4:00 PM,6:30 PM,"PAC 4,5",,,,,,,,,,,
STAT 841,001,Exam removed from the schedule.  Contact instructor for further information,,,,,,,,,,,,,,,
STAT 842,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SWREN 120R,001 to 003,Tuesday,"December 10, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
SWREN 220R,001,Tuesday,"December 17, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
SWREN 221R,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SWREN 222R,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SWREN 224R,001,Friday,"December 6, 2013",7:30 PM,9:30 PM,See Prof,,,,,,,,,,,
SWREN 250R,003,Thursday,"December 5, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SWREN 251R,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
SWREN 300R,001,Thursday,"December 12, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
SWREN 301R,001,Exam removed from the schedule.  Contact instructor for further information,,,,,,,,,,,,,,,
SWREN 349R,001,Saturday,"December 7, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SYDE 101L,001,Friday,"December 6, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SYDE 111,001,Tuesday,"December 17, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SYDE 113,001,Monday,"December 9, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SYDE 121,001,Wednesday,"December 11, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SYDE 161,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SYDE 181,001,Thursday,"December 12, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SYDE 212,001,Friday,"December 6, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SYDE 252,001,Friday,"December 13, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SYDE 252,002,Friday,"December 13, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SYDE 262,001,Monday,"December 9, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SYDE 286,001,Tuesday,"December 10, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
SYDE 292,001,Thursday,"December 12, 2013",12:30 PM,3:00 PM,See Prof,,,,,,,,,,,
SYDE 411,001,Friday,"December 13, 2013",7:30 PM,10:00 PM,See Prof,,,,,,,,,,,
SYDE 553,001,Friday,"December 6, 2013",4:00 PM,6:30 PM,See Prof,,,,,,,,,,,
SYDE 575,001,Friday,"December 6, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
TS 652,001,Thursday,"December 5, 2013",9:00 AM,11:30 AM,See Prof,,,,,,,,,,,
VCULT 100,001,Wednesday,"December 18, 2013",7:30 PM,10:00 PM,"MC 4059,4061",,,,,,,,,,,
WS 222,081 On Line,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,,,,
